"row_id","drink","merged","glass","ingredients"
0,"'57 Chevy with a White License Plate","Highball glass Creme de Cacao 1 oz white Vodka 1 oz","Highball glass",2
1,"1-900-FUK-MEUP","Old-fashioned glass Absolut Kurant 1/2 oz Grand Marnier 1/4 oz Chambord raspberry liqueur 1/4 oz Midori melon liqueur 1/4 oz Malibu rum 1/4 oz Amaretto 1/4 oz Cranberry juice 1/2 oz Pineapple juice 1/4 oz","Old-fashioned glass",8
2,"110 in the shade","Beer Glass Lager 16 oz Tequila 1.5 oz","Beer Glass",2
3,"151 Florida Bushwacker","Beer mug Malibu rum 1/2 oz Light rum 1/2 oz 151 proof rum 1/2 oz Bacardi Dark Creme de Cacao 1 oz Cointreau 1 oz Milk 3 oz Coconut liqueur 1 oz Vanilla ice-cream 1 cup","Beer mug",8
4,"155 Belmont","White wine glass Dark rum 1 shot Light rum 2 shots Vodka 1 shot Orange juice 1 shot","White wine glass",4
5,"24k nightmare","Shot glass Goldschlager 1/2 oz Jägermeister 1/2 oz Rumple Minze 1/2 oz 151 proof rum 1/2 oz Bacardi","Shot glass",4
6,"252","Shot glass 151 proof rum 1/2 shot Bacardi Wild Turkey 1/2 shot","Shot glass",2
8,"3-Mile Long Island Iced Tea","Collins Glass Gin 1/2 oz Light rum 1/2 oz Tequila 1/2 oz Triple sec 1/2 oz Vodka 1/2 oz Coca-Cola 
 Sweet and sour 1-2 dash Bitters 1 wedge","Collins Glass",8
7,"3 Wise Men","Collins glass Jack Daniels 1/3 oz Johnnie Walker 1/3 oz Jim Beam 1/3 oz","Collins glass",3
9,"410 Gone","Collins Glass Peach Vodka 2-3 oz","Collins Glass",1
10,"50/50","Collins Glass Vanilla vodka 2 1/2 oz Grand Marnier 1 splash Orange juice Fill with","Collins Glass",3
11,"501 Blue","Collins Glass Blue Curacao 
 Blueberry schnapps 
 Vodka 
 Sour mix 
 7-Up 
","Collins Glass",5
12,"69 Special","Collins Glass Gin 2 oz dry 7-Up 4 oz Lemon juice 0.75 oz","Collins Glass",3
13,"747","Shot glass Kahlua 1/3 part Bailey's irish cream 1/3 part Frangelico 1/3 part","Shot glass",3
14,"9 1/2 Weeks","Cocktail glass Absolut Citron 2 oz Orange Curacao 1/2 oz Strawberry liqueur 1 splash Orange juice 1 oz","Cocktail glass",4
15,"A Day at the Beach","Highball glass Coconut rum 1 oz Amaretto 1/2 oz Orange juice 4 oz Grenadine 1/2 oz","Highball glass",4
16,"A Furlong Too Late","Highball glass Light rum 2 oz Ginger beer 4 oz Lemon peel 1 twist of","Highball glass",3
17,"A Gilligan's Island","Collins glass Vodka 1 oz Peach schnapps 1 oz Orange juice 3 oz Cranberry juice 3 oz","Collins glass",4
22,"A midsummernight dream","Collins Glass Vodka 2 oz Kirschwasser 1 oz Strawberry liqueur 1 tsp Strawberries 5 Schweppes Russchian 
","Collins Glass",5
18,"A Night In Old Mandalay","Highball glass Light rum 1 oz Añejo rum 1 oz Orange juice 1 oz Lemon juice 1/2 oz Ginger ale 3 oz Lemon peel 1 twist of","Highball glass",6
19,"A Piece of Ass","Highball glass Amaretto 1 shot Southern Comfort 1 shot Ice cubes
 Sour mix 
","Highball glass",4
20,"A Splash of Nash","Highball glass Cranberry juice 2 oz Soda water 2 oz Midori melon liqueur 0.5 oz Creme de Banane 0.5 oz","Highball glass",4
21,"A True Amaretto Sour","Old-fashioned glass Amaretto 1 jigger Lemon Juice of 1/2 Ice 
","Old-fashioned glass",3
23,"A. J.","Cocktail glass Applejack 1 1/2 oz Grapefruit juice 1 oz","Cocktail glass",2
24,"A.D.M. (After Dinner Mint)","Irish coffee cup White Creme de Menthe 1/2 oz Southern Comfort 3/4 oz Vodka 1/2 oz Hot chocolate Fill with","Irish coffee cup",4
25,"A1","Cocktail glass Gin 1 3/4 shot Grand Marnier 1 Shot Lemon Juice 1/4 Shot Grenadine 1/8 Shot","Cocktail glass",4
29,"Abbey Cocktail","Cocktail glass Gin 1 1/2 oz Orange bitters 1 dash Orange Juice of 1/4 Cherry 1","Cocktail glass",4
30,"Abbey Martini","Cocktail glass Gin 2 shots Sweet Vermouth 1 shot Orange Juice 1 shot Angostura Bitters 3 dashes","Cocktail glass",4
26,"ABC","Shot glass Amaretto 1/3 Bailey's irish cream 1/3 Cognac 1/3","Shot glass",3
31,"Abilene","Highball glass Dark rum 1 1/2 oz Peach nectar 2 oz Orange juice 3 oz","Highball glass",3
32,"Absinthe #2","Jar Vodka 1 bottle Sugar 50 gr Anise 50 ml pure Licorice root 1 tblsp Wormwood 1","Jar",5
33,"Absolut Evergreen","Collins Glass Absolut Citron 2/3 part Pisang Ambon 1/3 part Ice cubes
 Bitter lemon 
","Collins Glass",4
37,"Absolut limousine","Collins Glass Absolut Citron 2/3 Lime juice 1/3 Ice Fill with Tonic water Top it up with","Collins Glass",4
34,"Absolut Sex","Old-fashioned glass Absolut Kurant 3/4 oz Midori melon liqueur 3/4 oz Cranberry juice 1 oz Sprite 1 splash","Old-fashioned glass",4
35,"Absolut Stress #2","Collins Glass Absolut Vodka 1 1/2 oz Peach schnapps 1/2 oz Coconut liqueur 1/2 oz Cranberry juice 1 1/2 oz Pineapple juice 1 1/2 oz","Collins Glass",5
36,"Absolut Summertime","Collins glass Absolut Citron 1 1/2 oz Sweet and sour 3/4 oz Sprite 1/2 oz Soda water 3 oz Lemon 1 slice","Collins glass",5
38,"Absolutely Cranberry Smash","Cocktail glass Absolut Vodka 2 oz Cranberry juice 4 oz Ginger ale 2 oz Ice Add","Cocktail glass",4
39,"Absolutely Fabulous","Champagne flute Vodka 1 shot Cranberry Juice 2 shots Champagne Top up with","Champagne flute",3
40,"Absolutly Screwed Up","Collins glass Absolut Citron 1 shot Orange juice 1 shot Triple sec 1 shot Ginger ale Fill to top","Collins glass",4
41,"Acapulco","Old-fashioned glass Light rum 1 1/2 oz Triple sec 1 1/2 tsp Lime juice 1 tblsp Sugar 1 tsp Egg white 1 Mint 1","Old-fashioned glass",6
42,"Ace","Martini Glass Gin 2 shots Grenadine 1/2 shot Heavy cream 1/2 shot Milk 1/2 shot Egg White 1/2 Fresh","Martini Glass",5
27,"ACID","Shot glass 151 proof rum 1 oz Bacardi Wild Turkey 1 oz","Shot glass",2
43,"Adam","Cocktail glass Dark rum 2 oz Lemon juice 1 oz Grenadine 1 tsp","Cocktail glass",3
44,"Adam & Eve","Cocktail glass Gin 1 shot Cognac 1 shot Creme de Cassis 1 shot Fresh Lemon Juice 1/8 shot","Cocktail glass",4
45,"Adam Bomb","Margarita/Coupette glass Rum 1 part Vodka 1 part Tequila 1 part Triple sec 1/2 part Fruit 
 Ice 
 Salt 1-3 pint","Margarita/Coupette glass",7
46,"Adam Sunrise","Collins Glass Vodka 1/2 Lemonade 1/2 can Water 1/2 Sugar 10 tsp","Collins Glass",4
47,"Addington","Cocktail glass Sweet Vermouth 2 shots Dry Vermouth 1 shot Soda Water Top up with
","Cocktail glass",3
48,"Addison","Martini Glass Gin 1 1/2 shot Vermouth 1 1/2 shot","Martini Glass",2
49,"Addison Special","Old-fashioned glass Vodka 1 shot Grenadine 1 tblsp Orange juice Fill with","Old-fashioned glass",3
50,"Adios Amigos Cocktail","Martini Glass Rum 1 shot Dry Vermouth 1/2 shot Cognac 1/2 shot Gin 1/2 shot Fresh Lime Juice 1/4 shot Sugar Syrup 1/4 shot Water 1/2 shot","Martini Glass",7
51,"Adonis Cocktail","Cocktail glass Sweet Vermouth 3/4 oz Sherry 1 1/2 oz dry Orange bitters 1 dash","Cocktail glass",3
52,"Affair","Highball glass Strawberry schnapps 2 oz Orange juice 2 oz Cranberry juice 2 oz Club soda 
","Highball glass",4
53,"Affinity","Cocktail glass Scotch 1 1/2 oz Sweet Vermouth 1 oz Dry Vermouth 1 oz Orange bitters 2 dashes","Cocktail glass",4
54,"After Dinner Cocktail","Cocktail glass Apricot brandy 1 oz Triple sec 1 oz Lime Juice of 1 Lime 1","Cocktail glass",4
55,"After Five","Shot glass Peppermint schnapps 
 Kahlua 
 Bailey's irish cream 
","Shot glass",3
57,"After sex","Highball glass Vodka 2 cl Creme de Banane 1 cl Orange juice 
","Highball glass",3
56,"After Supper Cocktail","Cocktail glass Triple sec 1 oz Apricot brandy 1 oz Lemon juice 1/2 tsp","Cocktail glass",3
58,"Afterglow","Highball Glass Grenadine 1 part Orange juice 4 parts Pineapple juice 4 parts","Highball Glass",3
59,"Afternoon","Collins Glass Kahlua 1 cl Bailey's irish cream 1 cl Frangelico 1 1/2 Coffee 4 cl hot Cream 
","Collins Glass",5
60,"Alabama Slammer","Highball glass Southern Comfort 1 oz Amaretto 1 oz Sloe gin 1/2 oz Lemon juice 1 dash","Highball glass",4
61,"Alaska Cocktail","Cocktail glass Orange bitters 2 dashes Gin 1 1/2 oz Yellow Chartreuse 3/4 oz Lemon peel Twist of","Cocktail glass",4
62,"Alexander","Cocktail glass Gin 1/2 oz Creme de Cacao 1/2 oz white Light cream 2 oz","Cocktail glass",3
63,"Alfie Cocktail","Cocktail glass Lemon vodka 1 1/2 oz Triple sec 1 dash Pineapple juice 1 tblsp","Cocktail glass",3
64,"Algonquin","Cocktail glass Blended whiskey 1 1/2 oz Dry Vermouth 1 oz Pineapple juice 1 oz","Cocktail glass",3
65,"Alice Cocktail","Cocktail glass Grenadine 1 cl Orange juice 1 cl Pineapple juice 2 cl Cream 4 cl","Cocktail glass",4
66,"Alice in Wonderland","Collins Glass Amaretto 1 shot Grand Marnier 1 shot Southern Comfort 1 shot","Collins Glass",3
67,"Allegheny","Cocktail glass Dry Vermouth 1 oz Bourbon 1 oz Blackberry brandy 1 1/2 tsp Lemon juice 1 1/2 tsp Lemon peel 1 twist of","Cocktail glass",5
68,"Allies Cocktail","Cocktail glass Dry Vermouth 1 oz Gin 1 oz Kummel 1/2 tsp","Cocktail glass",3
69,"Almeria","Cocktail glass Dark rum 2 oz Kahlua 1 oz Egg white 1","Cocktail glass",3
70,"Almond Chocolate Coffee","Coffee mug Amaretto 3/4 oz Dark Creme de Cacao 1/2 oz Coffee 8 oz","Coffee mug",3
71,"Almond Joy","Cocktail glass Amaretto 1/2 oz Creme de Cacao 1/2 oz white Light cream 2 oz","Cocktail glass",3
72,"Aloha Fruit punch","Collins Glass Water 3/4 cup Ginger 2 tsp Guava juice 2 cups Lemon juice 1 1/2 tblsp Pineapple 1 1/2 cup Sugar 1 cup Pineapple juice 3-4 cups","Collins Glass",7
73,"Amaretto And Cream","Cocktail glass Amaretto 1 1/2 oz Light cream 1 1/2 oz","Cocktail glass",2
74,"Amaretto Liqueur","Collins Glass Sugar 1 cup Food coloring 2 drops blue Glycerine 1/2 tsp Water 3/4 cup Apricot 2 Almond flavoring 1 tblsp Grain alcohol 1/2 cup pure Water 1/2 cup Brandy 1 cup Food coloring 3 drops yellow Food coloring 6 drops red","Collins Glass",11
75,"Amaretto Mist","Old-fashioned glass Amaretto 1 1/2 oz Lime 1","Old-fashioned glass",2
